labels,clean_text_g
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 241212663 46821749213978 10143 24121 
1,585910772 139781680310143468221039741014639258877410741013173 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 585910772 13978168031014346821397814639168032412113173628 4682139781397818036628 101437410 6281317316803 
1,139781680310143468224121107721014358596175 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 585910772 139781680310143468262816803741077077410741062813978 77071353628107722412116803628628 16101107725859 4682139781397818036 101437410 62810143222013173585917492 25887 
0,585910772 14821741013173168036175 6281680313978 7707168031014374101482116803 62816803585914639101434682 168032412125887107722412116803 2103913531397813531463916803 58591397814821 628139781077261756175 628139781463913532588725887617516803 161011680314639585910143107721397811275 101434682585913978258871803613978 7410180361680324121585910772 7707585962816803 258871803613978 628168037410 24121 241214682139781397818036628 101437410 266326632220 25887 2103974101397811275 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 77071463917492210394886 180361317311275 24121 
1,585962824848 101434682585913978258871803613978 24121168034886 585910772 62811275628139781680314821 74101803613978107721482110772222016803 131731077258596175741025887135316803 13978168035859101434682 628168037410 14821107722412113531397816803 24121 2412113978468216803 14639168036281353617513978 4682139781397818036 101437410 7707 7707 241211014362818036 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 6284886112751803622201749225887770721039 24121 
2,61755859135324121101434682 101434682585913978258871803613978 101437410241211610116803146396285859139781077274102412158596175 585910772 62811275628139781680314821 617510772628139781680324121 61751680358591463924121 10143468258596175617516803241212588716803 4682139781397818036628 101437410 174921482113173770716101 2588710143 24121 24121468216803617518036 1353 1482158592484816803 258877410741013173 139781463911275 4682139781397818036628 101437410 1463924121 13173139784682222024848 17492 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 1749214639112751014325887131732220 2588710772 
1,10143617516803585914639 101434682585913978258871803613978 139781463958591077224121 58591610174101077213173 1803614639168036281014314639107721803613978107721610116803 58592412162848861680314639 10772241216281397816803585913173 101437410135324121628168036175 4682135314821585924121 14639168035859101434682 10143741024121101436175135362810772741024121 24121 24121180361463916803628168032412113978 139781463974106175617511275 18036146397410770761751680314821 468216803617518036 21039107722412113173 210391463958591482116803488674101463924848 139784682107722412124848 24121 24121585962824848 131731077214639168031014313978 7410180361680324121617511275 146391680321039135362816803 4682139781397818036628 101437410 6285859 2105646822663139787410258872663 
2,101434682585913978258871803613978 146391680362816803585914639101434682 1803614639168031610110772168034886 13978741013173585911275 4682139781397818036628 101437410 7707488618036241217410112754886585910143 168032105610143107721397816803 258871680313978 21039168031680313173770758591014324848 168036281803616803101431077258596175617511275 468216803617518036 1353241211317316803146396281397858592412113173 101437410241211397816803210561397813535859617510772222016803 14821741013173168036175 146391077262824848 6281680316803 1317316803139785859107726175 1397846821463916803585913173 101434682585913978258871803613978 21039168031680313173770758591014324848 10143741024121139781680362813978 4682139781397818036 101437410 266324121222077075859 585922201397816101 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 1353 46822484810143488616101266314639 1014374101482114821168032412113978 4682139781397818036628 101437410 13534682107722220112754886468222206282663 
2,210397410617524848 7410180361680324121585910772 1463916803617516803585962816803 101434682585913978258871803613978 61757410741024848 6175107722484816803 248481680311275 10772241212412174101610158591397810772741024121 14639168031397858591077224121 1077224121210397410146391482158591397810772741024121 180361463916803161011077274101353628 18036146397410148211803613978 24121 24121585913978 6175585962813978 6281397858591463913978 10143741024121628139781463913531014313978 585910772 4886107722103916803 24121 241214682139781397818036628 101437410 14639 241211127517492617510772 1353 4682139781397818036 101437410 174922484816803135321039 741026632484811275 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 241216175107722412124848 4682139781397818036628 101437410 1803624848266322202105613534886161012484817492 241211014374101482114821168032412113978628 4682139781397818036628 101437410 14639174925859585922205859 617524848 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 7410180361680324121585910772 4682139781397818036 101437410 13531014318036 1397818036146391317313978 
1,24121 101434682585913978258871803613978 146391680362816803585914639101434682 16803585914639617511275 6281397858592588716803 258871803613978 7410180361397810772148211077262816803 101434682585913978 146391680314821168031482177071680314639628 1014374102412116101168031463962858591397810772741024121 7410180361680324121585910772 241214682139781397818036628 101437410 146392484813537707617511275 13537410 
2,101434682585913978258871803613978 146391680362816803585914639101434682 1803614639168031610110772168034886 24121 241211077213978 7410180361397810772148211077222201680313173 131731077258596175741025887135316803 146391680358591317311275 1014374102412116101168031463962858591397810772741024121 628468211275 25887107721610116803 139781463911275 468216803617518036 1353 1482158592484816803 258877410741013173 24121 241214682139781397818036628 101437410 25887161011077211275258876286286175146397410 
2,139781463911275 139785859617524848 101434682585913978258871803613978 24121168034886 585910772 62811275628139781680314821 74101803613978107721482110772222016803 131731077258596175741025887135316803 21039168031680313173770758591014324848 468216803617518036 1353 1077214821180361463974101610116803 4682139781397818036 101437410 24848180364886741046821127513173139781463910143 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 18036 25887488617492 
1,585924121241217410135324121101431680314821168032412113978 146391680362816803585914639101434682 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 2663 135316803266324121 62817492 
2,7410180361680324121585910772 24121168034886 101434682585913978258871803613978 46827410241211680362813978 4682139781397818036 101437410 1353 74101749214821135324848248482484817492 4682139781397818036 101437410 18036139787707 628174922412113978 
1,101434682585913978258871803613978 139781463958591077224121 4682135314821585924121 10143168032412113978146391077210143 4886585911275 168032105610143107721397816803 180366175585911275 1014361755859146391077221039107721014358591397810772741024121 13532412110143168031463913978585910772241211397811275 24121 24121 4682139781397818036 101437410 2105617492741058591463918036 17492112751353 
1,741024848 7410180361680324121585910772 24121168034886 101434682585913978258871803613978 77075859628107721014358596175617511275 258871680324121168031463958591397816803 58591077258591463913978 18036146397410148211803613978 585962824848 74102412116803 6175107722412116803 26631353168036281397810772741024121 13978112751803616803 58592412162848861680314639 16101168031463977075859139781077214821 628139781463958591077225887468213978 148211077213173174927410135314639241211680311275 77077410741014821 13978107721482116803 258871680313978 488616803107721463913173 4682139781397818036 101437410 62811275488613173628101431353210562105621039 
2,585962824848 101434682585913978258871803613978 770758596281077210143 1803611275139784682741024121 25887107721610116803 13978146391353617511275 16803131731353101435859139781077274102412158596175 58592412162848861680314639 61751680358591463924121 1803611275139784682741024121 628617574104886617511275 18036585962813978 1127516803585914639 146391680358596175617511275 4682168036175180362103913536175 628112752412174101803662810772628 25887107721610116803 4682139781397818036628 101437410 148212105658591680310772148211482111275 
1,101434682585913978258871803613978 101431353146391077274101353628 770716803468258591610110772741014639 741021039139781680324121 6281397858591463913978 628585911275 248482412174104886 62874101482116803139784682107722412125887 139781680361756175 7707135324121101434682 16101585925887135316803617511275 1463916803617558591397816803 6281397813532103921039 21039107722412158596175617511275 58591014313978135358596175617511275 58592412162848861680314639 26631353168036281397810772741024121 4682139781397818036628 101437410 14639248486175222018036468224121468216803 
0,258877410741025887617516803 131737410 24121 24121101437410148211803658591463916803 2663135358596175107721397811275 14639168036281803674102412162816803 101434682585913978258871803613978 4682139781397818036628 101437410 16101258877410 1353628161016175107727707 
2,101434682585913978258871803613978 21039107721463962813978 61757410741024848 4682139781397818036 101437410 24848 241216175148217410741011275 139784682107722412125887 107722412110143146391680313173107727707617516803 168031317313531014358591397810772741024121 146397410617516803180366175585911275 488674104886 101434682585913978258871803613978 7410180361680324121585910772 585910772 585914639139781077221039107721014310772585961751077224121139781680361756175107722588716803241211014316803 258871803613978 
2,58592412174101397846821680314639 24121168034886 1463916803617516803585962816803 101434682585913978258871803613978 21039146391680316803 585916101585910772617558597707617516803 5859241211127574102412116803 139781463911275 146391077225887468213978 101434682168031014324848 4682139781397818036628 101437410 7410585946821749277072103917492139781077221039 4682139781397818036 101437410 21056770725887617514639 18036 13532663 
1,741024848 7410180361680324121585910772 1317314639741018036 101434682585913978258871803613978 58596175146391680358591317311275 4682139781397818036628 101437410 2412110772139786175628248481014358594886 4682139781397818036 101437410 24121 168032412113534886222018036617510143 
2,48861680361756175 26631353107721397816803 10772148211803614639168036286281680313173 101434682585913978258871803613978 21039585914639 61757410741024848 6175107722484816803 628585921039168031397811275 13978146395859241216281803658591463916803241211014311275 1397858592484816803 58591014310143741013532412113978 4682139781397818036628 101437410 101431127524121101435859741011275 
2,180366175585911275 585914639741013532412113173 101434682585913978258871803613978 1463916803617516803585962816803 7410180361680324121585910772 24121 241211077213978 6175107722484816803 258871803613978 16803585962811275 135362816803 10772241211397816803146392103958591014316803 101434682585913978 24121 2412110772 585962824848 1482158592484816803 14821107726175617510772741024121 13173741061756175585914639 488614639107721397816803 6175107722412116803 1014374101317316803 24121 241211077221039 58592412111275139784682107722412125887 74101610116803146391397858592484816803628 258877410741025887617516803 62816803585914639101434682 107721397861756175 6175107722484816803617511275 62874101482116803139784682107722412125887 6175107722484816803 4682139781397818036 101437410 2412121056222014821101432588724121 168037707 
0,101434682585913978258871803613978 16101 14639107721317313173617516803 4682139781397818036628 101437410 1127513531803611275741013173 1353 
0,7410180361680324121585910772 101434682585913978258871803613978 585916101585910772617558597707617516803 139781680362813978 4682139781397818036 101437410 1482114821 222013173168031397848867410 24121 2412161751680313978 25887107721610116803 139781463911275 468258591463913173 26631353168036281397810772741024121 248482412174104886 4682135314821585924121 4682139781397818036628 101437410 2220 107722105614821741074107410617521056 
0,585962824848 101434682585913978258871803613978 488614639107721397816803 139781680361751353258871353 62874102412125887 1014316803146391680358596175 1482110772210561680313173 1482110772617524848 1014346821077210143248481680324121 148215859628585961755859 4682139781397818036 101437410 13978180361680318036 48865859 617524848 4682139781397818036 101437410 7410468214821 2220 
2,16803628628585911275 16803617574102412114821135362824848 101434682585913978258871803613978 1463916803266313531680362813978 6281014358591463911275 488674101463913173 24121 24121 488674101463924848 107722412162818036107721463916803 1482158592412111275 585961756287410 6281803658591463924848 2103916803585914639 5859241212105610772168031397811275 58591482174102412125887 6281680316803 1317358591463924848 628107721317316803 5859148217707107721397810772741024121 24121 2412110772 6281353180361680314639 1077214821180361463916803628628 46827410241211680362813978617511275 4682139781397818036628 101437410 48861610161755859222077072588714639135313173 
2,139781463911275 101434682585913978258871803613978 168032105610143107721397816803 46827410617513173 14821168031482174101463911275 146391680358596175617511275 258877410741013173 168032105618036617558591077224121 139784682107722412125887 6281680316803 6281353180361680314639 180367410488616803146392103913536175 1014346825859139787707741013978 135362816803 10143585962816803 1014374101482116803 4682139781397818036 101437410 2103961751397810772174922484824121107725859 4682139781397818036 101437410 585918036 2220148211463914821 4682139781397818036 101437410 1077262821039 6175 101431803613173 4682139781397818036 101437410 13531397822202103918036107721397822202103910772 
0,62818036168032412113173 7707135324121101434682 13978107721482116803 1317310772628101431353628628 131731077221039210391680314639168032412113978 741014639258875859241211077222205859139781077274102412158596175 14821741013173168036175 7410180361680324121585910772 24121168034886 101434682585913978258871803613978 107722412110143146391680313173107727707617516803 4682139781397818036 101437410 468210143146394682222021056139782412110772 
2,74102412116803 16803210561014310772139781680313173 585913173161015859241211014316803 24121617518036 210391077216803617513173 24121 24121 7410180361680324121585910772 101434682585913978258871803613978 10143741074106175 58592412162848861680314639 6281353180361680314639180367410628107721397810772741024121 617574101610116803 58592412162848861680314639 24121 241214682139781397818036628 101437410 1353107722105625887139781353 1803621039 24121 24121 585910772 7410180361680324121585910772 101434682585913978258871803613978 1397816803101434682241217410617574102588711275 24121617518036 
0,101434682585913978258871803613978 139784682488658591463913978 1482158592412111275 5859139781397816803148211803613978 148215859617510772101431077274101353628 1749258591610158596281014314639107721803613978 10772241211749216803101431397810772741024121 4682139781397818036628 101437410 17492210562484810143 7410174921353488611275 
0,1317358591482124121 7410180361680324121585910772 139781463911275 1077214821180366175107721014358591397810772741024121 5859628628107726281397858592412113978 6175107722484816803 101434682585913978258871803613978 131731077262818036741062858596175 146391680316101741061751353139781077274102412158591463911275 4682139781397818036 101437410 266317492135326631482158592105613173148212663 
0,101434682585913978258871803613978 24848135324121585961757707 1680324121258876175107726284682 16803628628585911275 488614639107721397816803 258877410 258877410 139787410628628 4682139781397818036 101437410 258872484821056 6175101436175 
2,24121 24121101434682585913978258871803613978 617558592412125887135358592588716803 14821741013173168036175 139781463958591077224121 7410180361680324121585910772 58597707107726175107721397811275 2103916803168036175 168031482174101397810772741024121 16803210561803616803146391077216803241211014316803 10143741014821180361353139781680314639 180361463974102588714639585914821 1317316803628107722588724121 1803614639741016101107721317316803 1077224121210397410146391482158591397810772741024121 58592412162848861680314639 26631353168036281397810772741024121 77071680362813978 58597707107726175107721397811275 62874101482116803139784682107722412125887 16803617562816803 6175107722484816803 585962824848 4682139781397818036 101437410 14639 468224848 488625887585911275 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 24848146394682 2484821056 6282220 4682139781397818036 101437410 13978770716803741018036174921077221056 16101 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 241211077221039 1397816101 2484821039 
0,25887107721610116803 139781463911275 24121139781077261756175 58592412162848861680314639 48861680361756175 168032105610143168031803613978 74102412116803 24121 24121 101434682585913978258871803613978 7410180361680324121585910772 4682139781397818036 101437410 1463946824682 4682 4682139781397818036 101437410 6175 16803741014821 2663174922663 
2,101434682585913978258871803613978 7410180361680324121585910772 26631353107721014324848 488658596175248481397846821463974101353258874682 24121 24121 488658596175248481397846821463974101353258874682 4682139781397818036 101437410 1610113978 58592103925887 24121 241215859101431014316803628628 21039146391680316803 4682139781397818036 101437410 1610174107410168036175 21056468221056 24121 24121139784682585913978 77071463910772617561751077258592412113978 1077213173168035859 1397813531463924121 1077224121628139781463913531014313978258871803613978 1014374102412116101168031463962858591397810772741024121 4682139781397818036628 101437410 25887222010143258872220 146391353148212663 
1,7410180361680324121585910772 1463916803617516803585962816803 101434682585913978258871803613978 1317358591482124121 258877410741013173 148211077225887468213978 258871803613978 6281397858591463913978 7410770762816803146391610158591397810772741024121 24121 2412121039107721463962813978 14821168031482174101463911275 62874101482116803139784682107722412125887 6175741013978 210397410617524848 488674101463924848 4682139781397818036 101437410 174922412125887770713173 628617558597707 
2,101434682585913978 7410180361680324121585910772 24121168034886617511275 1463916803617516803585962816803 13978741074106175 101434682585913978258871803613978 4886168037707 585913173161015859241211397858592588716803 10143468258596175617516803241212588716803 4886168037707 2103913531397813531463916803 24121 24121101434682585913978258871803613978 14821741013173168036175 74101803613978107721482110772222016803 131731077258596175741025887135316803 24121 241211463916803585913173 21039135361756175 4682139781397818036 101437410 628266313978131731610124121210392103914639 24121 2412161751680313978 13173107721610116803 4682139781397818036 101437410 741058591127511275180361610126637707 
0,101434682585913978258871803613978 4682139781397818036 101437410 77071749211275135325887112751803662818036 
2,101434682585913978258871803613978 21039585914639 2103916803168036175 6175107722484816803 258877410741013173 1680321056139781463958591014313978107721610116803 2663 58591482118036 148211353101434682 131731077258596175741025887135316803 
0,24121168034886 14821107721463914639741014639 585914639139781077210143617516803 1317314639741018036 24121101434682585913978258871803613978 4886168037707 210565859 1317313173 241214682139781397818036628 101437410 585977071680321039 1803624121468226637707 
2,1482158592412158592588716803 6281680310143146391680313978617511275 101437410241211397858591014313978 7707741013978 7707168034682107722412113173 7410180361680324121585910772 101434682585913978258871803613978 14821741013173168036175 5859139781397816803148211803613978 1463916803180361463974102588714639585914821 21039107726175139781680314639 10143741024121139781463974106175 46827410617513173 21039585910143107726175107721397811275 4886107721397846827410135313978 5859101431014316803628628 7410135313978628107721317316803 4886741014639617513173 18036617516803585962816803 628468258591463916803 24121168031680313173 468216803617518036 4682139781397818036628 101437410 1127513173 22202103974104682107722588714821 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 7410180361680324121585910772 24121 146391680362816803585914639101434682 585924121241217410135324121101431680314821168032412113978 24121 241214682139781397818036628 101437410 1610111275 1353168031014322204682 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 24848 21056139781077213978112752484858596175 24121 180367410107722412113978 1014374101482114821168032412113978 4682139781397818036628 101437410 46821680321056 74102220 
0,101434682585913978258871803613978 6281680313978 770774101353241211317358591463911275 24121 241214682139781397818036628 101437410 10143241211317310772222016803107721749216101 4682139781397818036 101437410 13534682 180361127524121 2105611275 
2,488674104886 7410180361680324121585910772 101434682585913978258871803613978 628107721482118036617511275 5859148215859222016803 1014346825859139787707741013978628 258871680313978 258871463916803585913978 468213532588716803 1397813531463924121 180367410107722412113978 585910772 21039107722412158596175617511275 6281397858591463913978 210391353617521039107726175 148211077262862810772741024121 4682139781397818036 101437410 77071317314639 146391749224848266321039 
0,1014358591803658597707107726175107721397811275 101434682585913978258871803613978 628139781077261756175 24848107722412113173 628168031680314821 146396175468221039 770758596281077224121 77077410146391077224121258872412116803628628 628168031680314821 468258591463913173 58591610174101077213173 7410146392588758592412110772222058591397810772741024121 16803161011680324121 617516803585962813978 77071077213978 146391077262824848 585916101168031463962816803 24121 241211077224121 135324121146391680361755859139781680313173 24121168034886628 1463916803585962874102412158597707617511275 10143741024121139781463974106175 6175617514821 468258591463913173 24121 241214682139781397818036628 101437410 248481749216803 2412148861680358591077216101 
2,139781463911275 101434682585913978258871803613978 488674104886 4682139781397818036 101437410 139782663 77072588713531397817492 
1,741024848 101434682585913978258871803613978 258877410 258875859258875859 1482174101317316803 6281397858591463913978 585962824848 13173168031680318036 26631353168036281397810772741024121 24848168031680318036 14639168031803616803585913978 58592412162848861680314639 
1,101434682585913978258871803613978 10143741074106175 6281680316803 131731077258596175741025887135316803 21039107721463962813978 10772241211397816803146392103958591014316803 24121 2412117492135362813978 139781463911275 139781680361756175 6281397813532103921039 6281680316803 48861680361756175 146391680310143585961756175 1397846821463916803585913173 617516803585924121 7707107721397816803 139787410488658591463913173628 14639741077077410139781077210143 18036168031463962874102412158596175107721397811275 58591482118036 1397874102412116803 14821741014821168032412113978 24121741024121 585924121139784682146397410148217410146391803646821077222201680313173 4682139781397818036628 101437410 21039 2663770726632105616803266361752220 
2,488674104886 101434682585913978258871803613978 180361463916803139781397811275 258877410741013173 210391353146391397846821680314639628 7707168036175107721680321039 1482174101610116803 139787410488658591463913173628 1317374101482158591077224121 62818036168031014310772210391077210143 14821741013173168036175 6287410741024121 74102412116803 14821741013173168036175 146391353617516803 6175741013978 6175741024121258871680314639 24121 24121488616803 14821741013173168036175 107721397810772628 16803146395859 14639168035859617510772222016803 180367410139781680324121139781077258596175617511275 4682135314821585924121 131735859139785859 1077214821180367410146391397858592412113978 4682139781397818036 101437410 1803610772210567410 1397810772135314639 
0,77075859770716803 488658592484816803 101434682585913978258871803613978 1317314639741018036 24121 241214682139781397818036628 101437410 6282412161751803610772258871482162810143 
1,180366175585911275 585914639741013532412113173 101434682585913978258871803613978 14821107722412113531397816803 58596175146391680358591317311275 628168031680314821 107722412110143146391680313173107727707617516803 488658591077213978 61751680358591463924121 139781680310143468224121107721014358596175 1317316803139785859107726175 585914639101434682107721397816803101431397813531463916803 4682139781397818036628 101437410 24848266313531482124121 10143139782663 
1,13978741013173585911275 61755859135324121101434682 101434682585913978258871803613978 139781463911275 139785859617524848 24121 241214682139781397818036628 101437410 13534886146395859 617524848210391482124121 
2,61755859135324121101434682 101434682585913978258871803613978 101437410241211610116803146396285859139781077274102412158596175 585910772 62811275628139781680314821 617510772628139781680324121 61751680358591463924121 10143468258596175617516803241212588716803 4682139781397818036628 101437410 10772131732103921039 168035859161011077214639 24121 24121468216803617518036 1353 1482158592484816803 258877410741013173 139781463911275 4682139781397818036628 101437410 222018036 13531610162811275488624848 4682139781397818036 101437410 1317314821741025887628248481463925887 
2,101434682585913978258871803613978 1077214821180361463916803628628107721610116803 617574101610116803 
1,6287410148211680313978107721482116803628 7410180361680324121585910772 101434682585913978258871803613978 77071463916803585924848 1014374101317316803 7707741021056 139781463911275 131731463958594886 5859628101431077210772 58591463913978 585961756287410 180361463916803139781397811275 46821077213978 1482110772628628 1317316803628101431463910772770716803 5859628101431077210772 58591463913978 62813531803618036741062816803 4682139781397818036 101437410 14639 2105610772258875859 
0,21039107721463962813978 101437410135318036617516803 10772241211397816803146395859101431397810772741024121 101434682585913978258871803613978 7410180361680324121585910772 4682139781397818036 101437410 101432588710772 222018036112754886112755859 
2,585962824848 101434682585913978258871803613978 7410180361680324121585910772 2412116803146391317311275 6281397813532103921039 1463916803148215859146392484858597707617511275 48861680361756175 617516803585962813978 5859628248481680313173 77071680362813978 62810143585924121 10143585913978 
1,6281482158591463913978168031463910143468210772617513173 48865859617524848 101434682585913978258871803613978 1014374101353617513173 14639135324121 24121 241211077224121 628168031463910772741013536282412116803628628 1077214821180361463916803628628107721610116803 4682139781397818036 101437410 101436281127521056139784682628112751680324848 4682139781397818036 101437410 1749217492131732105616803 16803174921463916803 
2,488674104886 61757410741024848 101434682585913978258871803613978 21039107722412116803 1397813532412116803 16101168031463962810772741024121 258871803613978 62816803146391077216803628 61755859146392588716803 617558592412125887135358592588716803 14821741013173168036175 58592412162848861680314639 26631353168036281397810772741024121 1482158592484816803 4682139781397818036 1463916803266313531680362813978 1749258591610158596281014314639107721803613978 4682139781397818036 101437410 1680311275 741017492131737707 
1,135362816803 101434682585913978258871803613978 488614639107721397816803 101431463916803168031803611275 1397848867410 62816803241211397816803241211014316803 6281397874101463911275 241214682139781397818036628 101437410 741014639210561353 4682139781397818036 101437410 210561353 24848 2220266362846825859 
0,1317374101803616803 61751680313978 101434682585913978258871803613978 1014346827410741062816803 7707146391680358592484821039585962813978 4682139781397818036 101437410 1610121039168034886 2588761752588721039 
