airline_sentiment,clean_text_a
0,161011077214639258871077224121585914821168031463910772101435859 4682585918036180361680324121 135314639 161011680325887585924121 210397410741013173 7410180361397810772741024121 617516803585962813978 628585911275 135314639 628107721397816803 248482412174104886 58597707617516803 16803585913978 58592412111275139784682107722412125887 24121168032105613978 468214639 210395859107726175 
1,161011077214639258871077224121585914821168031463910772101435859 1482110772628628 48867410146391463911275 13978741025887168031397846821680314639 6287410741024121 
0,161011077214639258871077224121585914821168031463910772101435859 5859148215859222016803 258871680313978 101437410617513173 58591077214639 16101168032412113978 1610121056 24121741058591077214639 488674101463962813978210396175107722588746821397816803161011680314639 146397410585962813978 62821039741013978741077077410628 
1,161011077214639258871077224121585914821168031463910772101435859 6175585921056 16803488614639 14821107721317313173617516803 62816803585913978 146391680313173 168031127516803 24121741074107707 14821585924121168031353161011680314639 6281680324121131735859148217707107721680324121 585924121131731014346821680321056148211077221056 
0,161011077214639258871077224121585914821168031463910772101435859 468210772 7707248481680313173 10143741074106175 7707107721463913978468213173585911275 13978146391077218036 58591317313173 168036175168031610158591397816803 101435859135362816803 1680324121139781680314639 14821107721317313173617516803 2412158591482116803 2103961751077225887468213978 77077410741024848107722412125887 18036146397410770761751680314821 
1,161011077214639258871077224121585914821168031463910772101435859 46827410135314639 741018036168031463958591397810772741024121 10143617513537707 628210397410 18036741062813978 7410241216175107722412116803 1014313531463914639168032412113978 
0,161011077214639258871077224121585914821168031463910772101435859 468216803617518036 61751680358591610116803 1680321056180361680324121628107721610116803 46821680358591317318036468274102412116803 2103961751077225887468213978 10772585913173 6175585921056 13978741013173585911275 62816803585913978 74102412116803 58592412162848861680314639 6175 58591482118036 21039 2412113531482177071680314639 6175585921056 
0,161011077214639258871077224121585914821168031463910772101435859 5859488658591077213978 14639168031397813531463924121 18036468274102412116803 10143585961756175 488674101353617513173 180361463916803210391680314639 135362816803 7410241216175107722412116803 62816803617521039 628168031463916101107721014316803 7410180361397810772741024121 
2,161011077214639258871077224121585914821168031463910772101435859 258871463916803585913978 24121168034886628 585914821168031463910772101435859 1014374101353617513173 6281397858591463913978 2103961751077225887468213978 46825859488658591077210772 168032412113173 1127516803585914639 4682139781397818036 101437410 14639 18036 222011275 2103916803 16101107725859 1803658591014310772210391077210143770710772222024121168034886628 
1,24121107721014316803 1463913978 161011077214639258871077224121585914821168031463910772101435859 1610110772770716803 14821741074101317361751077225887468213978 139785859248481680374102103921039 1397874101353101434682131737410488624121 148217410741013173617510772139781482174102412113173585911275 62810143107721680324121101431680377071680346821077224121131731397846821680316803210561803616803146391077216803241211014316803 4682139781397818036 101437410 1353241212105613978266318036 
2,161011077214639258871077224121585914821168031463910772101435859 14821741074101317361751077225887468213978107722412125887 4886585911275 21039617511275 77071680362813978 16803210561803616803146391077216803241211014316803 16803161011680314639 10143741074106175 101435859617514821 148217410741013173617510772139781482174102412113173585911275 
2,161011077214639258871077224121585914821168031463910772101435859 210391463916803131731317310772168035859488658591463913173628 131737410 131737410 77071680362813978 585910772146396175107722412116803 585914639741013532412113173 468258592412113173 
1,161011077214639258871077224121585914821168031463910772101435859 77077410741024848 2103961751077225887468213978 46825859488658591077210772 
0,161011077214639258871077224121585914821168031463910772101435859 101434682585913978 6281353180361803674101463913978 488674101463924848 628107721397816803 4682139781397818036 101437410 16101468218036 25887139781317348861803624848 
2,161011077214639258871077224121585914821168031463910772101435859 1610110772168034886 131737410488624121139787410488624121 61757410628 5859241212588716803617516803628 46827410617561751127548867410741013173 628107722588724121 7707168031127574102412113173 1463958591077224121 1482174101353241211397858591077224121 4682139781397818036 101437410 131734886 2412121039 1077277071397814639 
0,161011077214639258871077224121585914821168031463910772101435859 46821680311275 21039107721463962813978 13978107721482116803 210396175112751680314639 24121168032105613978 4886168031680324848 168032105610143107721397816803 468258591463913173 13978107721482116803 258871680313978 2103961751077225887468213978 58591317313173 168036175168031610158591397816803 58591014310143741013532412113978 468216803617518036 
1,161011077214639258871077224121585914821168031463910772101435859 1803661752220 468216803617518036 48861077224121 77071077213173 135318036258871463958591317316803 2103961751077225887468213978 6175585921056 2588713978 628168035859 
1,161011077214639258871077224121585914821168031463910772101435859 13532412113536281680313173 139781077210143248481680313978 1482174101610116803 24121168034886 10143107721397811275 21039617511275 21039617511275 168032105618036107721463916803628 1397814639585916101168036175468216803617518036 
1,161011077214639258871077224121585914821168031463910772101435859 2103961751077225887468213978 61751680358591610116803 131735859617561755859628 6281680358591397813978617516803 13978107721482116803 21039168037707 
2,161011077214639258871077224121585914821168031463910772101435859 168036175168031610158591397816803258877410617513173 258877410741013173 14639168035859628741024121 1463974101014324848 
1,161011077214639258871077224121585914821168031463910772101435859 131731463916803585914821 4682139781397818036 101437410 74105859 131731463921039585974102663 4682139781397818036 101437410 61754886488613173585910143 24848468221056 
2,161011077214639258871077224121585914821168031463910772101435859 488674104886 7707617574104886 14821107722412113173 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 6175585962813978 241211077225887468213978 139781463910772770713531397816803 6287410135324121131737410210391482113536281077210143 741062810143585914639 617558591317311275258875859258875859 139784682107722412124848 1014358591463914639107721680313532412113173168031463948867410741013173 585925887146391680316803 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 16803241211397816803146391397858591077224121 
1,161011077214639258871077224121585914821168031463910772101435859 2103961751077225887468213978 4886585911275 62813531803618036741062816803 1397858592484816803 14821107722412113531397816803 5859258877410 4886168037707628107721397816803 628139781077261756175 628468274104886 13978107721482116803 2103961751077225887468213978 13978468258592412124848628 
2,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 17492135361751077216803 5859241211317314639168034886628 4886585911275 13978468274101353258874682 617558591317311275258875859258875859 1077214821180361463916803628628107721610116803 1014358591463914639107721680313532412113173168031463948867410741013173 
1,161011077214639258871077224121585914821168031463910772101435859 4886107726284682 21039617511275 5859139786175585924121139785859 6287410741024121 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 17492135361751077216803 5859241211317314639168034886628 468258592412113173 
1,161011077214639258871077224121585914821168031463910772101435859 2103961751077225887468213978 61751680358591610116803 131735859617561755859628 61755859 2103916803770714639135358591463911275 139784682 
0,161011077214639258871077224121585914821168031463910772101435859 468210772 168032105610143107721397816803 6175258875859 2588713978 1317358596175 131731680358596175 139781463911275 77077410741024848 62810772241211014316803 6175585962813978 4886168031680324848 58591482118036 1803658592588716803 2412116803161011680314639 61757410585913173 13978468221056 
2,161011077214639258871077224121585914821168031463910772101435859 248482412174104886 24121168031680313173 62818036741013978107722103911275 62813978585913978 258871353107726175139781127518036617516803585962813531463916803628 
2,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 617558591317311275 258875859258875859 5859148215859222016803 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 10143585914639146391077216803 
1,161011077214639258871077224121585914821168031463910772101435859 24121168034886 14821585914639248481680313978107722412125887 62874102412125887 4682139781397818036 101437410 21039 617521039135361751014377072663 61751680313978 1353 248482412174104886 139784682107722412124848 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 17492135361751077216803 5859241211317314639168034886 21039107721463962813978 617558591317311275 258875859258875859 488674104886 6175585962813978 241211077225887468213978 10143585914639146391077216803 14821168034682 
0,161011077214639258871077224121585914821168031463910772101435859 10143585961756175 4886168031680324848 5859258877410 58591317313173 2103961751077225887468213978 168036175168031610158591397816803 628139781077261756175 628468274104886 468216803617518036 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 258871463916803585913978 258877410 1014358591463914639107721680313532412113173168031463948867410741013173 
1,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 6287410146391463911275 1482158591463911275 14821585914639139781077224121 21039107721463962813978 
2,161011077214639258871077224121585914821168031463910772101435859 617558591317311275258875859258875859 1014358591463914639107721680313532412113173168031463948867410741013173 617574101610116803 139784682146391680316803 146391680358596175617511275 770716803585913978 10143617558596286281077210143 
1,161011077214639258871077224121585914821168031463910772101435859 2103961751077225887468213978 1317358596175 13173101435859 1803614821 139781463911275 101434682168031014324848 1014374101353617513173 628139785859139781353628 18036617516803585962816803 
0,161011077214639258871077224121585914821168031463910772101435859 46821680311275112751127511275 25887135311275112751127511275628 139781463911275 258871680313978 46827410135314639 6287410148211680374102412116803 10143585961756175 18036617516803585962816803 
0,161011077214639258871077224121585914821168031463910772101435859 468210772 161011077214639258871077224121 46827410617513173 14821107722412113531397816803 168035859146396175107721680314639 2103961751077225887468213978 61755859 241211127510143 139787410241211077225887468213978 168035859146396175107721680314639 1803614821 
2,161011077214639258871077224121585914821168031463910772101435859 101437410241212588714639585913978628 48861077224121 1397814639585916101168036175222074107410 5859488658591463913173 77071680362813978 131731680358596175 585910772146396175107722412116803 1353 4682139781397818036 101437410 2484817492 10772617517492585916803770716101 
0,161011077214639258871077224121585914821168031463910772101435859 1680316101168031463911275139784682107722412125887 21039107722412116803 6175741062816803 7707585925887 
1,161011077214639258871077224121585914821168031463910772101435859 24121168031680313173 1014346825859241212588716803 146391680362816803146391610158591397810772741024121 161011077214639258871077224121 101431463916803131731077213978 1014358591463913173 24121168031680313173 14821741013173107722103911275 18036468274102412116803 48865859107721610116803 1014346825859241212588716803 210391680316803 7410241216175107722412116803 
1,161011077214639258871077224121585914821168031463910772101435859 16803148215859107726175 101431353628139787410148211680314639 628168031463916101107721014316803 1397816803585914821 61751680313978 248482412174104886 24121168031680313173 139781463958591014324848 2412113531482177071680314639 
1,161011077214639258871077224121585914821168031463910772101435859 468210772 77077410741024848 2103961751077225887468213978 24121168031680313173 58591317313173 77075859258872588758592588716803 
0,161011077214639258871077224121585914821168031463910772101435859 585910772146396175107722412116803 585948861680362874101482116803 6175585921056 617574102103913978 24121168031680313173 628139781680318036 2588758591482116803 1317310772146391397811275 1397858597707617516803 2103961757410741014639 4682139781397818036 101437410 468211275 161011463921039468217492468213978 
2,161011077214639258871077224121585914821168031463910772101435859 48867410146391463911275 258871463916803585913978 14639107721317316803 24121168034886 18036617558592412116803 258871463916803585913978 1014314639168034886 585910772146396175107722412116803 6175107722484816803 
2,161011077214639258871077224121585914821168031463910772101435859 585948861680362874101482116803 21039617511275 11275585961756175 6281077213978 1482174101463924121107722412125887 4886585911275 1014374101463914639168031014313978 77071077261756175 
1,161011077214639258871077224121585914821168031463910772101435859 4886585913978101434682 77071680362813978 62813978135313173168032412113978 2103910772617514821 101437410135324121139781463911275 210397410741013978 101431482121039585913978 210397410741013978 4682139781397818036 101437410 248481680324848 180361317314821258871077221039 
1,161011077214639258871077224121585914821168031463910772101435859 21039107721463962813978 13978107721482116803 21039617511275 131731077221039210391680314639168032412113978 1463958591397816803 1803674106175107721014311275 14821168031317310772135314821 7707585925887 13978468258592412124848628 
0,161011077214639258871077224121585914821168031463910772101435859 258877410 101431353628139787410148211680314639 628168031463916101107721014316803 585924121112754886585911275 6281803616803585924848 4682135314821585924121 5859628585918036 13978468258592412124848 
1,161011077214639258871077224121585914821168031463910772101435859 4682585918036180361680324121 131737410741014821 
0,161011077214639258871077224121585914821168031463910772101435859 62813531803618036 7707107722220 13978146395859161011680361751680314639 6175107722484816803 628741013531397846824886168036281397858591077214639 101431353628139787410148211680314639 628168031463916101107721014316803 6175107722484816803 17492168031397877076175135316803 2412116803161011680314639210396175112751610110772146392588710772241212103974101463977071353628107722412116803628628 
2,161011077214639258871077224121585914821168031463910772101435859 58591803618036617511275 14821168031482177071680314639 10772241212103961751077225887468213978 1014314639168034886 1397816803585914821 1077214821 107722412113978168031463916803628139781680313173 21039617510772258874682139785859139781397816803241211317358592412113978 131731463916803585914821180365859139784682 25887 
0,161011077214639258871077224121585914821168031463910772101435859 77071680362813978 48864682168032412116803161011680314639 770716803258871463913531317325887107722412125887617511275 135362816803 585910772146396175107722412116803 13173168036175585911275 617558591397816803 2103961751077225887468213978 
0,161011077214639258871077224121585914821168031463910772101435859 10772241211397816803146391680362813978 21039617511275 101435859241211014316803617561751680313173 2103961751077225887468213978 24121168032105613978 210397410135314639 2103961751077225887468213978 180366175585924121 2412116803161011680314639210396175112751610110772146392588710772241212103974101463977071353628107722412116803628628 
0,161011077214639258871077224121585914821168031463910772101435859 1317310772628585918036180367410107722412113978107722412125887 16803210561803616803146391077216803241211014316803 628468258591463916803 1680316101168031463911275 77071353628107722412116803628628 13978146395859161011680361751680314639 14821168031680313978 241211680316101168031463921039617511275161011077214639258871077224121 
0,161011077214639258871077224121585914821168031463910772101435859 1077214821 1397814639741013537707617516803 58591317313173 2103961751077225887468213978 4886107722103916803 77077410741024848 168036175168031610158591397816803 58591014310143741013532412113978 468216803617518036 4682139781397818036 101437410 1803621056 46822663741024848628 14639 
1,161011077214639258871077224121585914821168031463910772101435859 770714639107722412125887 146391680362816803146391610158591397810772741024121 7410241216175107722412116803 135362816803 2103961751077225887468213978 77077410741024848 18036146397410770761751680314821 1014374101317316803 
1,161011077214639258871077224121585914821168031463910772101435859 1463958592412113173741014821 2663 1317310772628139781463910772770713531397810772741024121 168036175168031610158591397816803 585916101585913978585914639 77071680313978 2484810772139781397811275 13173107726281803614639741018036741014639139781077274102412158591397816803 628468258591463916803 4682139781397818036 101437410 58591803613978222018036135314639741018036 
1,161011077214639258871077224121585914821168031463910772101435859 617513978 21039617511275 161015859 6175107722103916803 4682585918036180361680324121 139781463911275 1014346825859241212588716803 13978146391077218036 17492180361680314639468210772 468216803617518036 161015859 468274101482116803 1803658592588716803 61751680313978 
0,161011077214639258871077224121585914821168031463910772101435859 628107721397816803 770758591014324848 
1,161011077214639258871077224121585914821168031463910772101435859 146392412118036 112751680358594682 248482412174104886 
1,161011077214639258871077224121585914821168031463910772101435859 468210772 258871680313978 180367410107722412113978 168036175168031610158591397816803 58591014310143741013532412113978 146391680310143168032412113978 2103961751077225887468213978 58591317313173 2103961751077225887468213978 180367410107722412113978 58591014310143741013532412113978 
0,161011077214639258871077224121585914821168031463910772101435859 6175107722484816803 1397816101 10772241211397816803146391680362813978 161011077213173168037410 1317310772628585918036180367410107722412113978 1014358592412110143168036175 210396175107722588746821397861751680313173 2103961751077225887468213978 2103961751077225887468213978 258877410 174922103924848 62858591397813531463913173585911275 
0,161011077214639258871077224121585914821168031463910772101435859 617558592412113173 6175585921056 46827410135314639 617558591397816803 2103961751077225887468213978 7707585925887 101434682168031014324848 77071353628107722412116803628628 1397814639585916101168036175 210391463910772168032412113173617511275 2412174101482174101463916803161011077214639258871077224121 
1,161011077214639258871077224121585914821168031463910772101435859 2103961751077225887468213978 1463916803131731077214639168031014313978 
0,161011077214639258871077224121585914821168031463910772101435859 4886168037707628107721397816803 7707139784886 24121168034886 4886168037707628107721397816803 258871463916803585913978 13536281680314639 16803210561803616803146391077216803241211014316803 13978107721482116803 58592412174101397846821680314639 14639168031317316803628107722588724121 
0,161011077214639258871077224121585914821168031463910772101435859 101434682168031014324848 58591317313173 7707585925887 4886168037707628107721397816803 488674101463924848 1397814639107721680313173 13173168036282484813978741018036 148217410770710772617516803 4682139781397818036 101437410 58591610111275266313173148211803610772 
0,161011077214639258871077224121585914821168031463910772101435859 61751680313978 62810143585924121241211680313173 1803658596286281680324121258871680314639 61751680358591610116803 18036617558592412116803 139781680361756175 6287410148211680374102412116803 14639168031482174101610116803 7707585925887 62813978 1014361755859628628 77071077224121 13532412110143741014821210397410146391397858597707617516803 
0,161011077214639258871077224121585914821168031463910772101435859 18036468274102412116803 2412113531482177071680314639 21039107722412113173 10143585961756175 2103961751077225887468213978 146391680362816803146391610158591397810772741024121 
0,161011077214639258871077224121585914821168031463910772101435859 5859241211127574102412116803 58592412111275139784682107722412125887 13978741013173585911275 4886168037707628107721397816803 135362816803617516803628628 74102412116803 58592412162848861680314639 18036468274102412116803 
1,161011077214639258871077224121585914821168031463910772101435859 139781463911275 58591317313173 7707741011275 180361463910772241211014316803 14639168036286281077216803 62821039 13978468213531463962813173585911275 161011077214639258871077224121585914821168031463910772101435859 6175585921056 4682139781397818036 101437410 258876287707 17492 10143 2588714821 
0,161011077214639258871077224121585914821168031463910772101435859 14821135362813978 13978146395859161011680361751680314639 1482110772628628 2103961751077225887468213978 617558591397816803 2103961751077225887468213978 101434682168031014324848 7707585925887 1482110772628628 1482174101463924121107722412125887 58591803618036741010772241211397814821168032412113978 6175741062816803 77071353628107722412116803628628 628210397410 6175585921056 
1,161011077214639258871077224121585914821168031463910772101435859 101434682168031014324848 24121168034886 1482113536281077210143 4682139781397818036 101437410 1482158591463910143241217410101434886222024121 
0,161011077214639258871077224121585914821168031463910772101435859 131731077214639168031014313978 2103961751077225887468213978 2103961756175 2588713978 628210397410 1353241211680321056180361680310143139781680313173 61755859112757410161011680314639 1610116803258875859628 210391353168036175 112751680313978 18036168031680318036628 24121168032105613978 77077410135325887468213978 1610116803258875859 2103961751077225887468213978 628241211680358592484811275 
0,161011077214639258871077224121585914821168031463910772101435859 617558591397816803 2103961751077225887468213978 7707585925887 101434682168031014324848 6175741062816803 77071353628107722412116803628628 1482110772628628 2103961751077225887468213978 58591803613978 139784682146391680316803 1803616803741018036617516803 2103961751077225887468213978 168032105618036 
2,161011077214639258871077224121585914821168031463910772101435859 5859148215859222016803 101431353628139787410148211680314639 628168031463916101107721014316803 1463958591680358592412124121 62821039 77071680362813978 101431353628139787410148211680314639628168031463916101107721014316803 161011077214639258871077224121585914821168031463910772101435859 21039617511275 
0,161011077214639258871077224121585914821168031463910772101435859 10143585961756175 628168031463916101107721014316803 6175107722412116803 468258592412125887 585948861680362874101482116803 62858591463910143585962814821 
0,161011077214639258871077224121585914821168031463910772101435859 628107721397816803 13978146391077218036 139781463911275 101434682168031014324848 258871680313978 18036617558591077224121 13978168032105613978 16101168031463962810772741024121 146391680361751353101431397858592412113978 1680324121139781680314639 1014358591463913173 1077224121210397410 
1,161011077214639258871077224121585914821168031463910772101435859 62810143468216803131731353617516803 628210397410 1317358596175 2103961751077225887468213978 13978741013173585911275 1014346825859241212588716803 139784682 13173135316803 48861680358591397846821680314639 61757410741024848 6175107722484816803 2103961751077225887468213978 628139781077261756175 
2,161011077214639258871077224121585914821168031463910772101435859 25887168031397858594886585911275 131731680358596175 14821585911275 74102412116803 4886585911275 6175741013978628 10143741074106175 10143107721397811275 4682139781397818036 101437410 13978222022201749246821353107727707101434682 101434682168035859180362103961751077225887468213978628 2103958591463916803101437410148211803658591463916803 
1,161011077214639258871077224121585914821168031463910772101435859 25887168031397858594886585911275 131731680358596175 14821585911275 74102412116803 4886585911275 6175741013978628 10143741074106175 10143107721397811275 4682139781397818036 101437410 14639180361317377071803621056 48862412113173 101434682168035859180362103961751077225887468213978628 2103958591463916803101437410148211803658591463916803 
2,161011077214639258871077224121585914821168031463910772101435859 25887168031397858594886585911275 131731680358596175 14821585911275 74102412116803 4886585911275 6175741013978628 10143741074106175 10143107721397811275 4682139781397818036 101437410 7707 2105610772 1127525887 101434682168035859180362103961751077225887468213978628 2103958591463916803101437410148211803658591463916803 
1,161011077214639258871077224121585914821168031463910772101435859 25887168031397858594886585911275 131731680358596175 14821585911275 74102412116803 4886585911275 6175741013978628 10143741074106175 10143107721397811275 4682139781397818036 101437410 26631317361751749246826286175741010772 101434682168035859180362103961751077225887468213978628 2103958591463916803101437410148211803658591463916803 
2,161011077214639258871077224121585914821168031463910772101435859 258871463916803585913978 4886168031680324848 
2,161011077214639258871077224121585914821168031463910772101435859 1014374101482116803 770758591014324848 1803646826175 58596175146391680358591317311275 24121168031680313173 1397858592484816803 1353 468274101463914639107727707617516803 101437410617513173 180366175168035859628168031014374101482116803770758591014324848 4682139781397818036 101437410 2588761752105621039488618036 2412126634682 
0,161011077214639258871077224121585914821168031463910772101435859 1014374102412110143168031463924121 21039617511275 18036617558592412116803 24121168031680313173 13173168036175585911275 13173135316803 1397816803101434682 62813978741018036 
2,161011077214639258871077224121585914821168031463910772101435859 77071680362813978 585910772146396175107722412116803 21039617511275 16803585962811275 1014346825859241212588716803 146391680362816803146391610158591397810772741024121 4682168036175180362103913536175 1463916803180361463916803628168032412113978585913978107721610116803 58591482118036 10143741014821210397410146391397858597707617516803 21039617511275 16803210561803616803146391077216803241211014316803 
2,161011077214639258871077224121585914821168031463910772101435859 58592412174101397846821680314639 146391680318036 24848107721014324848 770713531397813978 24121585916803617558594682 1463916803180361463916803628168032412113978 1397816803585914821 7707168035859135313978107722103913536175617511275 13978468258592412124848 
2,161011077214639258871077224121585914821168031463910772101435859 7707168035859135313978107722103913536175 210391463974102412113978 168032412113173 1317316803628107722588724121 146391077225887468213978 10143741074106175 628139781077261756175 77077410741024848 139781077210143248481680313978 7707 10143 770758591014324848 168032412113173 628168031014313531463916803 
2,161011077214639258871077224121585914821168031463910772101435859 617574101610116803 1397816803585914821 14639135324121 2588758591397816803 16803 61755859 139787410241211077225887468213978 488658591077213978 131731680361755859112751680313173 2103961751077225887468213978 24848168031680318036 139784682107722412125887 16803241211397816803146391397858591077224121 
0,161011077214639258871077224121585914821168031463910772101435859 135362816803 58592412174101397846821680314639 770714639741048866281680314639 58591482118036 77071463958592412113173 14639168031803613531397858591397810772741024121 7707135310772617513173 1397816803101434682 14639168036281803674102412162816803 10143146397410628628 770714639741048866281680314639 1014374101482118036585913978107727707617516803 4886168037707628107721397816803 
0,161011077214639258871077224121585914821168031463910772101435859 2103961751077225887468213978 2103961751077225887468213978 77077410741024848 18036146397410770761751680314821 628107721397816803 1397874101397858596175617511275 210397410617524848 18036146397410770761751680314821 
0,161011077214639258871077224121585914821168031463910772101435859 6175107722484816803 101431353628139787410148211680314639 628168031463916101107721014316803 148211077224121 13173168036175585911275 1014374102412124121168031014313978 1803658596286281680324121258871680314639 628168031680314821 617574102412125887 161015859 
2,161011077214639258871077224121585914821168031463910772101435859 13978468258592412124848628 74101353139786281397858592412113173107722412125887 241211127510143 174922103924848 1014314639168034886 1482174101610116803 1482174101353241211397858591077224121 258871680313978 468274101482116803 628585924121 21039146395859241211014310772628101437410 139787410241211077225887468213978 
2,161011077214639258871077224121585914821168031463910772101435859 585977076287410617513531397816803 77071680362813978 1397816803585914821 101431353628139787410148211680314639 628168031463916101107721014316803 16803161011680314639 1680316101168031463911275 13978107721482116803 21039617511275 131731680361751077225887468213978 13978468258592412124848 
