Sentiment,clean_text_fn
1,1397848867410 10143741024121139781463958591014313978 13978135314639241211397858597707617516803 58592412174101317316803 16101107727707146397410101437410148211803658591014313978741014639628 1317316803617510772161011680314639 258875859241216281353 46821353585961751353 585961751353148211077224121135314821 101437410 61751397813173 58592412174101397846821680314639 135324121241215859148211680313173 101437410628139781353148211680314639 
2,58591610110772161015859 210391463910772168032412113173628 6175107722103916803 13978741018036 210397410146391680310143585962813978 5859468216803585913173 7707107726175617510772741024121 18036741013532412113173 148211680314639258871680314639 
1,6281397816803585913173 7707585962816803 62874102103913978 1317314639107722412124848 1353628135358596175 139781680346827410 168032412116803146392588711275 1317314639107722412124848 1482158592484816803 2103914639168036284682 48865859139781680314639 
1,101437410148211803658592412111275 180366175585924121 1077224121101431463916803585962816803 1353241211077213978 62818036168031014310772585961751077262813978 6281397858592103921039 6281680316101168031463958596175 13173741022201680324121 131731680318036168032412113173 14821585914639248481680313978 6281077213978135358591397810772741024121 
1,101437410148211803658592412111275 101436175741062816803 6175585962813978 1127516803585914639 13978135314639241217410161011680314639 210397410135314639 14821107726175617510772741024121 168031353146397410 
2,6284682107721463916803 10143168037410 628139781680318036 1317314639107721610116803 258871680313978 770758592105658596175139785859 7707741058591463913173 139785859617524848 
2,10143741062813978101437410 18036146391680314821107721680314639 1463916803139785859107726175 1317310772161011077213173168032412113173 180366175585911275 4682139781397818036628 101437410 210395859 10143241214682 10143741062813978 
1,21039107721610116803 628139787410146391680311275 16803101437410 168032103921039107721014310772168032412113978 7707135310772617513173 25887146397410628628 2103961757410741014639 585914639168035859 6282663 585961756287410 107722412110143617513531317316803 5859180365859146391397814821168032412113978 
1,21039107721463962813978 10772241216281397858596175617514821168032412113978 10143107722412116803148215859 62816803146391077216803628 1014374102412110143617513531317316803 180361463974102103910772617516803 21039107722412124121107726284682 107722412116101168032412113978741014639 7410617558591610110772 61751077224121131731680324121 48864682741062816803 18036168031463962874102412158596175 5859146391397810772628139781077210143 174927410135314639241211680311275 488674101463924848 210391077262824848585914639628 617516803585913173 13173741022201680324121 1317316803628107722588724121 5859488658591463913173 
1,48861680361751014374101482116803 
2,62813978741010143248481482158592412124121 62848861680313173107726284682 628168031014313978741014639 101437410148211803658592412111275 58597707 61751077224121131731680321056 1680324121139781680314639 58592588714639168031680314821168032412113978 628168031803613978168031482177071680314639 48864682168031463916803770711275 62813978741010143248481482158592412124121 4886468274106175617511275 7410488624121 6281353770762810772131731077258591463911275 1482158592484816803 180361353770761751077210143 139781680324121131731680314639 741021039210391680314639 61751077224121131731680321056 10772628628135316803 628468258591463916803 
1,4682135346821397858591482158592484810772 74101127517492 6281397874101014324848 16803210561014346825859241212588716803 1463916803617516803585962816803 4682135346821397858591482158592484810772 10143585918036107721397858596175 14821585914639248481680313978 13173585911275 10772241216281397810772139781353139781077274102412158596175 1077224121161011680362813978741014639 585924121585961751127562813978 46827410617513173 168036281803674107410 628168031803613978168031482177071680314639 6281397858591463913978 1803614821 21039107722412124121107726284682 13978107721482116803 
2,1803661751680358596281680313173 48861680361751014374101482116803 139785859180361680324848628 241217410148215859 10143146395859148217410 25887146397410135318036 
1,18036146397410210391077213978 13978585921056 16803135314639 14821107726175617510772741024121 
2,1463974101127558596175 13173135313978101434682 62846821680361756175 7707135311275 770725887 25887146397410135318036 2412116803585914639617511275 7707107726175617510772741024121 
1,2103910772241215859241211014310772585961754886107721463916803 1397814821 180361463916803628628 1463916803617516803585962816803 628168031463916101107721014316803 14639168031014316803107721610116803 1014374101482118036168032412162858591397810772741024121 24121168034886628 741018036107722412110772741024121 1317310772628139781463910772770713531397810772741024121 
1,58596286285859 585977076175741011275 248485859135318036139784682107722412125887 770758592412124848 25887107721610116803 24121168031353139781463958596175 1463916803101437410148211482116803241211317358591397810772741024121 628468258591463916803 1803614639107721014316803 13978585914639258871680313978 10143146397410488624121 168031353146397410 62848861680313173107726284682 617574101014324848 148215859248481680314639 58596286285859 585977076175741011275 58597707 
2,10772139781680314821 107722412110143617513531317316803 1463916803628139781463913531014313978135314639107722412125887 10143741062813978 16803135314639 1127516803585914639 168035859146396175107721680314639 16803135314639 1317310772617513531397816803 1680318036628 6281397858592412113173 16803135314639 1610116803146396281353628 61757410628628 180361680314639 628468258591463916803 16803135314639 
1,770758592412124848 18036741062813978 241211680313978 18036146397410210391077213978 617513978 1482124121 
0,58595859180366175 585921039139781680314639241217410741024121 628168036175617574102103921039 1353628135358596175 77071463913531397858596175 258871680313978 146391680358591317311275 6175741062816803 13978741024121 148217410241211680311275 
0,1397862861755859 146391680310143585961756175 180361463916803139781397811275 148211353101434682 1680316101168031463911275 628107722412125887617516803 14821741013173168036175 21056 10143241212412177071463924848 258871680313978 628468274101463913978 16803161011680324121 488674101463924848 1749213531482118036 148217410241211680311275 139781463958591317316803 
0,13173741061751014316803 258875859770777075859241215859 585962824848 1680313531463974101803616803585924121 13532412110772741024121 131731680310143617558591463916803 1482158591463910772148211680324848248487410 101437410146391803674101463958591397810772741024121 1353241211077224848248487410 21039617574101463958596175 1803658591397813978168031463924121 1397814639585913173168031482158591463924848 107722412116101585961751077213173 10143741024121139781077224121135316803 13173107726281803613531397816803 1397848867410 101437410148211803658592412111275 
0,10772241211397816803146391014374102412113978107722412116803241211397858596175 4682741013978168036175 21039107721463962813978 26631353585914639139781680314639 2588761757410770758596175 146397410741014821 1463916803161011680324121135316803 6175585925887 1680362813978107721482158591397816803 
2,5859101431014374101463913173 21039107722412124121107726284682 18036168032412162810772741024121 10772241216281353146395859241211014316803 101437410148211803658592412111275 16101585914639148215859 16101585914639148215859 146391680310143107721803610772168032412113978 1397848867410 139784682107721463913173 1463916803161011680324121135316803 1680358591463924121107722412125887628 146391680361755859139781680313173 18036168032412162810772741024121 101437410161011680314639 101437410148211803616803139781077213978107721610116803 139781680324121131731680314639107722412125887 210391077224121617558592412113173 
2,180367410146391397810772741024121 14821107726175617510772741024121 14639168031014374101463913173 1803658591463913978 4886107722412124121107722412125887 180361463910772741014639 18036585913978168032412113978 13173107726281803613531397816803 21039107722412124121107726284682 18036468274102412116803 148215859248481680314639 24121741024848107725859 74101127517492 
0,6175 25887 628139781077261756175 18036585911275 1803614639107721014316803 1317310772161011077213173168032412113173 10143135313978 10143146391077262810772628 101434682107721680321039 628585911275 
1,161017410617513531482116803 107722412116101168036281397814821168032412113978 1397848867410 180364682585962816803 1803614639741017492168031014313978 1680362813978107721482158591397816803 135362813173 1482124121 16803135314639 1482124121 
1,146391353628628107725859 58591014310143741013532412113978 617558592588758591463913173168031463916803 1482158592588758592220107722412116803 1317310772161011077262810772741024121 1463916803161011680324121135316803 16803135314639 1482124121 135362813173 1482124121 13536285859 
2,101437410148211803658592412111275 585961756287410 1680362813978107721482158591397816803 58596175146391680358591317311275 101435859146391463911275 107722412116101168036281397814821168032412113978 617516803585913173 1077224121101431463916803585962816803 241211680313978 6285859617516803 14639168035859101434682 16803135314639 14821107726175617510772741024121 
1,18036146397410210391077213978 58591014310143741013532412113978107722412125887 18036168031463910772741013173 16803135314639 1482124121 
2,6281077221056 770714639168034886168031463911275 14639168031014374101463913173 18036168031463910143168032412113978 258871463974104886139784682 1317374101482116803628139781077210143 7707168031680314639 6285859617516803 6175585962813978 1127516803585914639 14821107726175617510772741024121 617510772139781680314639 14821107726175617510772741024121 617510772139781680314639 6281680361756175 
2,5859135325887135362813978 74101014313978741077071680314639 101437410148211803658592412111275 14639168036281353617513978 13978585921056 1397874101397858596175 16803135314639 1482124121 16803135314639 1482124121 1014374101463914639168036281803674102412113173107722412125887 18036168031463910772741013173 
2,6281127562813978168031680314821107721397810772107721482110772 6285859617516803 1803614639741017492168031014313978 146391680362874101353146391014316803 585961756287410 62813978146391680324121258871397846821680324121 131731077214639168031014313978741014639 18036585913536175 628248487410258877707168031463925887 628585911275 
2,1397816803628101437410 628468258591463916803 1803614639107721014316803 1749213531482118036 2663 6285859617516803 13978741018036 1680362813978107721482158591397816803 
1,21039107722412116803 1803614639107722412113978 
2,1803614639107721014316803 6175741025887 10143617516803585914639617511275 1077214821180361463974101610116803 585961756287410 1803614639107721014316803 18036135361751803648867410741013173 258877410 
1,1397846821353628 628112756287410180361680324121 131731077225887107725859 58591014310143741014639131735859241211014316803 101434682585918036139781680314639 62816803101431397810772741024121 21039107722412124121107726284682 101437410148211803658592412111275 58591014313978 741077071397858591077224121 139781077213978617516803 628468258591463916803 62816803241211397816803146395859 146391680313173168031680314821 
1,1317310772617513531397816803 1680358591463924121107722412125887628 180361680314639 628468258591463916803 1680318036628 210391680361756175 16803135314639 16803135314639 
1,18036 16803585962813978168031463924121 13978107721482116803 7707617574101014324848 10143741024121139781463958591014313978 1014346825859241212588716803 468258592412113173 77071077213173 1803614639107721014316803 
1,146391680310143168032412113978 1397816803101434682241217410617574102588711275 131731680361751077216101168031463911275 107722412110143617513531317316803 1463916803210391077224121168031463911275 1397816803101434682241217410617574102588711275 58592412114639585924848 58596175135314821107722412110772135314821 1077214639741024121 74101463916803 1803616803617561751680313978107722220107722412125887 18036617558592412113978 139785859139785859 6281397816803168036175 1077214639741024121 74101463916803 6281077224121139781680314639 18036617558592412113978 7707468213536284682585924121 6281397816803168036175 
2,161011077218036 6281077214821107726175585914639 1803658591397813978168031463924121 6175107722484816803 770716803258871077224121 14821585911275 1353 6281680361756175 258877410 148211353101434682 468210772258874682 1317314639741018036 
1,21039107721463914821 258871680324121168031463958591397816803 6285859617516803 14821617524121 16803135314639 
1,628139787410146395859 16803241216287410 585961756287410 14821168031680313978107722412125887 617558597707741014639 58591353139784682741014639107721397811275 168031482118036617574101127514821168032412113978 16803101437410241217410148211077210143 13173168031610116803617574101803614821168032412113978 101431680324121139781463916803 1463916803180361463916803628168032412113978585913978107721610116803 2588774101610116803146392412114821168032412113978 741014639131731680314639 21039107722412113173 6287410617513531397810772741024121 
0,5859628139781463958592220168032412116803101435859 18036146397410210391077213978 6285859617516803 6281397858596175488658591463913978 2103958591317316803 
2,1463913978 58592412113173146391680348862412111275266313531077262813978 101434682585914639139787410617574102588711275 112755859468274107410 4682139781397818036 6281397824848628 101437410 107721397814639 11275468274107410 10143146395859222011275 61757410741024848 10143468258591463913978 2412116803585914639 770714639168035859248487410135313978 146391680362810772628139785859241211014316803 6175107722412116803 
2,7707135361756175107726284682 6281397874101014324848 1397848861077213978139781680314639 131731077218036 11275468274107410 258871317321056 2588774107410258876175 628139782220 258877410617513173 168034886 161012220 1014316803617525887 6287707135321056 628101431397811275 4682139781397818036 101437410 10772135322201749216803617521039488613978 
0,21039107722412124121107726284682 25887168037410628168032412113978146391077210143 241211680313978 6285859617516803 1317316803101431463916803585962816803 16803135314639 17492585924121135358591463911275 14821585914639101434682 
1,10143741046821680324121 62813978168031680314639 107722412110143 628468258591463916803 1463916803180361463916803628168032412113978 628468258591463916803 10143585918036107721397858596175 16101741013978107722412125887 146391077225887468213978 
2,6281397858592103921039 1463916803101431463913531077213978 17492585918036585924121 101437410148211803661751680314821168032412113978 241211680313978488674101463924848 101436175741062816803 628168031463916101107721014316803 617574101014358591397810772741024121 101437410135324121139781463911275 48867410146396175131734886107721317316803 
1,180365859180361680314639 101437410148211803658592412111275 241211680325887585913978107721610116803 13978168031463914639107721397874101463911275 628139787410146395859 16803241216287410 14639 62846821680313173 180361014313978 16803135314639 13531803614821 24848112751482114821168032412116803 180361014313978 16803135314639 146391680358596175 7707 180361014313978 6175741048861680314639 16803135314639 
1,2484858591353248487410 13978168036175248487410 10143168032412113978146395859617510772222016803 58591317314821107722412110772628139781463958591397810772741024121 1317310772628628741061751610116803 5859180361803614639741018036146391077258591397816803 1803658591463913978 1397814639585924121628210391680314639 7410180361680314639585913978107722412125887 585910143139781077216101107721397811275 25887146397410135318036 58591317314821107722412110772628139781463958591397810772741024121 168032412113173 1127516803585914639 
1,7410180361680314639585913978107722412125887 18036146397410210391077213978 26631353585914639139781680314639 58591803614639107726175 1749213532412116803 585914821741013532412113978 16803135314639 6285859617516803 16803135314639 770724121 
1,5859139781463910772135314821 1014346827410741062816803 131731680361751077225887468213978 585913978139781463958591014313978 101437410241216281353148211680314639 58592588716803 25887146397410135318036 58591397814639107725859 2103914639168036284682 146395859241212588716803 14821107721014314639741048865859161011680358597707617516803 148211680358596175 
1,21039107722412124121107726284682 6287410617513531397810772741024121 180361463974101610110772131731680314639 585921039210391680310143139787410 74101127517492 4682168036175 58592103916803 16101 628585911275 13978741013173585911275 62861751077218036 241211680313978 61757410628628 16803135314639 135362813173 628168031014374102412113173 26631353585914639139781680314639 18036146397410210391077213978 16803135314639 1014374101463914639168036281803674102412113173 18036168031463910772741013173 1127516803585914639 168035859146396175107721680314639 
0,1353 628585924121101431397810772741024121 18036135313978 25887585922201803614639741014821 62846821680361756175 585961756175107725859241211014316803 180366175585924121 17492168037410180365859146391317311275 
1,18036146397410210391077213978 18036168031463910772741013173 16803135314639 1482124121 16803135314639 1482124121 
2,18036146397410210391077213978 18036168031463910772741013173 16803135314639 1482124121 16803135314639 1482124121 
1,7410180361680314639585913978107722412125887 18036146397410210391077213978 210391680361756175 16803135314639 1482124121 16803135314639 1482124121 628168031014374102412113173 26631353585914639139781680314639 
2,46827410488616803161011680314639 6285859617516803 14639168031397813531463924121 258871463974104886139784682 58591803614639107726175 1749213532412116803 10143168037410 180361680324848248485859 1680361757410468274106175148215859 628585911275 
1,7410180361680314639585913978107722412125887 18036146397410210391077213978 1397874101397858596175 16803135314639 1482124121 241211680313978 6285859617516803 
0,1014346825859241212588716803 14821585914639248481680313978 6281077213978135358591397810772741024121 13978741013532588746821680314639 1803614639107721014316803 10143741014821180361680313978107721397810772741024121 6281353770762813978585924121139781077258596175617511275 14639168031317313531014316803 13173168031482158592412113173 77071463916803585913173 1803658591014324848585925887107722412125887 148215859241211353210395859101431397813531463916803 248485859135346825859161015859 18036617558592412113978 5859101431014374101463913173 101437410148211803658592412111275 
1,101437410241212412116803101431397810772741024121 131731680358596175 131731077225887107725859 1680314821180366175741011275 180361680314639628741024121 24121741024848107725859 741062861757410 6281077261751077210143741024121 161015859617561751680311275 13536285859 
2,7707146395859222010772617510772585924121 1353241211077213978 21039107722412124121107726284682 6281680310143135314639107721397811275 6287410617513531397810772741024121 180361463974101610110772131731680314639 21039 628168031014313531463916803 628107722588724121 24121168034886 10143617510772168032412113978 6175585962813978 1127516803585914639 7410241216175107722412116803 24121168034886628 62874101353146391014316803 146391680362816803617561751680314639 4886168037707 2663135374101397816803 1317310772161011077262810772741024121 10143741014821148211680314639101431077258596175 131731077214639168031014313978741014639 16101617558591317310772148211077214639 77071463958592412113173 224657410 628585911275 
1,2103958591077214639 1610158596175135316803 101437410148211803658592412111275 107722412116101168036281397814821168032412113978 180361463974101803616803146391397811275 258877410 16803135314639 7707107726175617510772741024121 168032412113173 16803135314639 7707107726175617510772741024121 1127516803585914639 168035859146396175107721680314639 
0,1317316803585961751680314639 628585911275 628468258591463916803 61755859146392588716803617511275 46821077213978 1077224121161011680362813978741014639 131731077262858591803618036741010772241211397814821168032412113978 146391680321039107722412116803 14821585914639258871077224121 135362813173 180361680314639 770758591463914639168036175 26631353585914639139781680314639 18036168031463921039741014639148215859241211014316803 62846821077218036 1353241211077213978 62858594886 1680377071077213978 1317314639741018036 14821617524121 16803135314639 14821617524121 16803135314639 1127516803585914639 5859148211077213173 21039585961756175 161017410617513531482116803 13978585924121248481680314639 1463958591397816803 
1,139781680362813978585914821168032412113978 2663135358596175107721397811275 61751397816803 6287410617513531397810772741024121 1014374101482114821107721397814821168032412113978 174925859180365859241211680362816803 14821585914639248481680313978 58591317313173 
1,101437410148211803658592412111275 58591077214821 2103910772241215859617510772222016803 2412116803258877410139781077258591397810772741024121 628107722588724121 10143741024121139781463958591014313978 6281397858591463913978 74101014313978741077071680314639 
1,1482116803139786287410 210397410135324121131731463911275 1749211275161015859628248481127561755859 741011275 131731077262810143741024121139781077224121135316803 18036146397410131731353101431397810772741024121 6175107722412116803 628168031803613978168031482177071680314639 101437410148211803658592412111275 628585911275 
1,1397874101397858596175 6281077221056 18036741061756175 585924121585961751127562813978 14639585913978 146391680358596175 1397848867410 25887107721610116803 7707135311275 585910143101431353148211353617558591397816803 139784682146391680316803 25887107721610116803 46827410617513173 74102412116803 25887107721610116803 6281680361756175 
2,628168031803613978168031482177071680314639 21039107722412124121107726284682 25887146397410135318036 585925887146391680316803 7707135311275 13173585924121107726284682 101437410148211803658592412111275 146391077262816803 18036741013536175139781463911275 16803135314639 101437410148217707107722412158591397810772741024121 1014358596284682 6281397874101014324848 
2,1127558592412125887 13173741013537707617516803 770774101397813978741014821 
0,1397816803628101437410 628468258591463916803 1803614639107721014316803 25887146397410101431680314639 2103958591014316803 628210397410 1077224121161011680362813978107722588758591397810772741024121 74101353139781014374101482116803 
2,58595859180366175 24121168034886628 7707168031014374101482116803 7707135361756175107726284682 4682139781397818036 6281397824848628 101437410 13978148211353 
1,25887 1680324121258871077224121168031680314639107722412125887 107722412162813978585961756175 16101585961751610116803 61751077226631353168032103911275 2412158591397813531463958596175 258875859628 61752412125887 18036617558592412113978 7707135310772617513173 1353585916803 61752412125887 168032105613978146395859101431397810772741024121 258875859628 18036617558592412113978 7410180361680314639585913978741014639 258875859628101437410 1463913534886585910772628 1353585916803 
1,1803616803146391014316803241211397858592588716803 628468258591463916803 1610174101397816803 146391077225887468213978 1014358596175101431353617558591397816803 18036146397410180367410146391397810772741024121 1397874101397858596175 2412113531482177071680314639 628468258591463916803 14639168032588710772628139781680314639 139781463958591317316803 14639168032588710772628139781680314639 1397874101397858596175 2412113531482177071680314639 16101741013978107722412125887 146391077225887468213978 1463916803617558591397816803 
1,146391680358596175 628585911275 2588714639741013532412113173 14639135314821741014639 101431077214639101431353617558591397816803 14821585914639248481680313978 14821741024121139784682 
1,6175168031482177071680314639 628585911275 14821585913978139781680314639 13978741018036107721014358596175 585961756287410 1680362813978741024121107725859 77071077261756175 131731463958592103913978 6287410101431077258596175 5859210392103958591077214639 14821107722412110772628139781463911275 488674101353617513173 6281014314639585918036 7410617513173 58592588716803 18036168032412162810772741024121 2103958591610174101463958597707617516803 1014374102412113173107721397810772741024121 
1,14821741074101317311275 628585911275 25887107721610116803 18036 617574102412125887 13978168031463914821 628168032412110772741014639 13532412162816803101431353146391680313173 18036 18036 628468274101463913978 13978168031463914821 1317316803770713978 14639585913978107722412125887 21039107722412124121107726284682 61751680324121131731680314639 58592484813978107725859 770758592412124848 16803135314639 770724121 135362813173 770724121 168031353146397410 14821168031317310772135314821 13978168031463914821 2412174101397816803 16803148211397824121 180361463974102588714639585914821 14821585914639101434682 
0,1397862861755859 146391680310143585961756175 
1,617510772266313531077213173107721397811275 1803614639741016101107721317316803 10772241211397816803146391463913531803613978 14821585911275 58596281803674101014374101482118036 25887146397410135318036 74101127517492 628468258591463916803 139781463958591317316803 10143168032412113978 58596281803674101014374101482118036 6281397874101014324848 16803210561014346825859241212588716803 1463916803617516803585962816803 
2,468258591463925887146391680358591610116803628 6175585924121628131737410488624121 770713531014324848 488616803585924848 14821585914639248481680313978 6281680316803 58596286281680313978 146391077262816803 18036168031463910143168032412113978 
0,1803614821 74101482121056 468216803617562810772241212484810772 1077224121131731680321056 180361014313978 617574104886 
1,1317316803101431077262810772741024121 1482116803585924121 1397816803148211803674101463958591463911275 6175585911275 74102103921039628 210391077221056 1317313531463958591397810772741024121 101437410148211803658592412111275 24121585962813978741061755859 1749211275161015859628248481127561755859 1353241211077213978 62874101353139784682168031463924121 101431680324121139781463958596175 210391077224121617558592412113173 146391680362818036168031014313978107721610116803617511275 
1,1610158596175135316803 741014639131731680314639 16803135314639 1482124121 
1,14821 617558595859248486287410 146391680362818036741024121628107727707617516803 46822484862810143585924121 468214639 21039135324121101431397810772741024121 13173168031610116803617574101803614821168032412113978 25887146397410135318036 62814821585914639248481680313978 585914639168035859 
1,210391077262824848585914639628 585961756287410 16803241212588758592588716803 2588761757410770758596175 62813531803618036617511275 14821585914639107722412116803 168032412116803146392588711275 1680326631353107721803614821168032412113978 6287410617513531397810772741024121 628168031463916101107721014316803 58596286287410101431077258591397816803 101437410148211803658592412111275 4886585914639139786281077261755859 101437410146391803674101463958591397810772741024121 
2,58597707168031463913173168031680324121 58596286281680313978 148215859241215859258871680314821168032412113978 2588758591077224121 21039741074101397846827410617513173 10143468210772241215859 
1,210391077224121617558592412113173 13173741014821107722412158591397816803 146395859107726175 101437410148211803658592412111275 1610114639 18036617558592412124121107722412125887 6281680313978 1077224121210391680310143139781680313173 1803658596286281680324121258871680314639 617574102412125887 1317310772628139785859241211014316803 13978146391077218036 628168031803658591463958591397816803 10143585914639146391077258592588716803 
1,24121741016101168031482177071680314639 21039107722412124121107726284682 2588774101610116803146392412114821168032412113978 1317316803101431463916803585962816803 7410488624121168031463962846821077218036 101437410148211803658592412111275 18036168031463910143168032412113978 18036168031463910143168032412113978 
1,21039107722412124121107726284682 1680321056168036175 10143741014821180367410628107721397816803 1397816803101434682241217410617574102588711275 101437410148211803658592412111275 1317316803628107722588724121 148215859241211353210395859101431397813531463916803 14821585914639248481680313978 10143741014821180367410628107721397816803 180361463974102103910772617516803 139781353770716803 161015859146391077274101353628 107722412113173135362813978146391077258596175 585918036180366175107721014358591397810772741024121 14639168031803674101463913978 241211680313978 6285859617516803 1317316803101431463916803585962816803 628168031014374102412113173 26631353585914639139781680314639 16803135314639 1482124121 16803135314639 1482124121 1014374101463914639168036281803674102412113173107722412125887 18036168031463910772741013173 
1,7707585916101168036175617574102412110772 2412162813978 174927410107722412113978 1610116803241211397813531463916803 7707585916101168036175617574102412110772 13978741074106175 10143741014821180366175168031397816803628 628168031482110772180361463974101317313531014313978628 180361463974101317313531014316803 10772139785859617511275 468210772258874682 2663135358596175107721397811275 13978741074106175 6281680361756175 131731077258591803674106175 77071463958592412113173 
1,13978741074106175 18036585913978168032412113978 18036168032412113173107722412125887 1317316803628107722588724121 58596175617574104886 101437410241216281353148211680314639 6175585911275 168032412113978107721463916803 1803614639741017492168031014313978 14639168031482174101610158597707617516803 18036617558591397816803 135362816803 1482113536175139781077218036617516803 10143617516803585914639 6281397858591482118036 24848107722412113173 
0,2588774107410258876175 628468274101463913978 135318036180361680314639 77077707 741016101168031463977077410135325887468213978 
1,61751077225887468213978 1014313531463921039168034886 101431353146396175 617558591397816803 7707168036281397862816803617561751680314639 139781463916803585913978 168031127516803 18036168031463921039168031014313978 1463916803585913173 61751077225887468213978 617513531014316803180366175585924121 
